"基金代號","基金簡稱","基金類型","基金中文名稱","基金英文名稱","標的指數/追蹤指數名稱","標的指數是否為客製化或需揭露相關資訊之指數","股票及債券投資比例說明","是否設有績效指標","績效指標中文名稱","績效指標英文名稱","是否包含國外成分股","基金統一編號","成立日期","上市日期","基金經理人","經理公司總機","經理公司地址","經理公司董事長","經理公司發言人","經理公司總經理","經理公司代理發言人","總代理人","發行單位數/轉換數","保管機構","保管機構電話","保管機構地址","備註",
="0050",="元大台灣50","國內成分證券指數股票型基金","元大台灣卓越50證券投資信託基金","Yuanta/P-shares Taiwan Top 50 ETF","臺灣50指數","否","不適用","不適用","不適用","不適用","否","98764389","092/06/25","092/06/30","陳重銓","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","      2,222,000,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0051",="元大中型100","國內成分證券指數股票型基金","元大台灣中型100證券投資信託基金","Yuanta/P-shares Taiwan Mid-Cap 100 ETF","臺灣中型100指數","否","不適用","不適用","不適用","不適用","否","48772770","095/08/24","095/08/31","邱鉦淵","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         24,000,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0052",="富邦科技","國內成分證券指數股票型基金","富邦台灣科技指數證券投資信託基金","Fubon Taiwan Technology Tracker Fund","臺灣資訊科技指數","否","不適用","不適用","不適用","不適用","否","48790067","095/08/28","095/09/12","紀元豪","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         78,000,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0053",="元大電子","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金","Yuanta/P-shares Taiwan Electronics Tech ETF","電子類加權股價指數","否","不適用","不適用","不適用","不適用","否","48903196","096/07/04","096/07/16","蔡宗勳","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          5,488,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0054",="元大台商50","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金","Yuanta/P-shares S&P Custom China Play 50 ETF","S&P台商收成指數","","不適用","不適用","不適用","不適用","否","48903180","096/07/04","096/07/16","陳威志","(02)27175555","臺北市大安區敦化南路二段67號地下一層","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          4,124,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0055",="元大MSCI金融","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金","Yuanta/P-shares MSCI Taiwan Financials ETF","MSCI台灣金融指數","否","不適用","不適用","不適用","不適用","否","48903175","096/07/04","096/07/16","程惇亞","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         72,654,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0056",="元大高股息","國內成分證券指數股票型基金","元大台灣高股息證券投資信託基金","Yuanta/P-shares Taiwan Dividend Plus ETF","臺灣高股息指數","否","不適用","不適用","不適用","不適用","否","48966213","096/12/13","096/12/26","陳威志","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","     10,435,534,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0057",="富邦摩台","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金","FUBON MSCI  TAIWAN ETF","MSCI臺灣指數","否","不適用","不適用","不適用","不適用","否","48975156","097/02/14","097/02/27","陳又又吉","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","          1,527,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0058",="富邦發達","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金","FUBON TAIWAN EIGHT INDUSTRIES ETF","臺灣發達指數","","不適用","不適用","不適用","不適用","否","48977083","097/02/14","097/02/27","簡伯容","(02)8771-6688","台北市敦化南路一段108號8樓","胡德興","胡德興","李明州","李明州","","            696,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0059",="富邦金融","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金","FUBON TAIWAN FINANCE  ETF","金融保險類股指數","","不適用","不適用","不適用","不適用","否","48975162","097/02/14","097/02/27","楊貽甯","(02)8771-6688","台北市敦化南路一段108號8樓","胡德興","胡德興","李明州","李明州","","            973,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0060",="新台灣","國內成分證券指數股票型基金","元大新台灣證券投資信託基金","Yuanta/P-shares TWSE Taiwan Non－Tech 50 ETF","未含電子股50指數","","不適用","不適用","不適用","不適用","否","10342511","097/08/06","097/08/18","謝宜蓁","(02)27175555","台北市敦化南路一段66號5~6樓、68號2樓之1","林武田","劉宗聖","劉宗聖","張浴澤","","          1,153,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
