"=""0050""",元大台灣卓越50證券投資信託基金,,092/06/25
"=""0051""",元大台灣中型100證券投資信託基金,,095/08/24
"=""0052""",富邦台灣科技指數證券投資信託基金,富邦證券投資信託股份有限公司,095/08/28
"=""0053""",元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,,096/07/04
"=""0054""",元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,,096/07/04
"=""0055""",元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,,096/07/04
"=""0056""",元大台灣高股息證券投資信託基金,,096/12/13
"=""0057""",富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,富邦證券投資信託股份有限公司,097/02/14
"=""0058""",富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金,,097/02/14
"=""0059""",富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金,,097/02/14
"=""0060""",元大新台灣證券投資信託基金,,097/08/06
"=""0061""",元大標智滬深300證券投資信託基金,,098/08/04
"=""006203""",元大摩臺證券投資信託基金,,100/04/21
"=""006204""",永豐臺灣加權ETF證券投資信託基金,,100/09/06
"=""006205""",富邦上証180證券投資信託基金,富邦證券投資信託股份有限公司,100/08/30
"=""006206""",元大中國傘型證券投資信託基金之上證50證券投資信託基金,,101/04/25
"=""006207""",復華滬深300 A股證券投資信託基金,,101/06/05
"=""006208""",富邦台灣釆吉50 證券投資信託基金,富邦證券投資信託股份有限公司,101/06/22
"=""00625K""",富邦上証180證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,富邦證券投資信託股份有限公司,105/08/08
"=""00631L""",元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金,,103/10/23
"=""00632R""",元大ETF傘型證券投資信託基金之台灣50單日反向1倍證券投資信託基金,,103/10/23
"=""00633L""",富邦中國ETF傘型證券投資信託基金之富邦上証180單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,103/11/11
"=""00634R""",富邦中國ETF傘型證券投資信託基金之富邦上証180單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,103/11/11
"=""00635U""",元大標普高盛黃金ER指數股票型期貨信託基金,,104/04/01
"=""00636""",國泰富時中國A50證券投資信託基金,國泰證券投資信託股份有限公司,104/03/20
"=""00636K""",國泰富時中國A50證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,國泰證券投資信託股份有限,106/10/24
"=""00637L""",元大滬深300傘型證券投資信託基金之滬深300單日正向2倍證券投資信託基金,,104/05/06
"=""00638R""",元大滬深300傘型證券投資信託基金之滬深300單日反向1倍證券投資信託基金,,104/05/06
"=""00639""",富邦深証100證券投資信託基金,富邦證券投資信託股份有限公司,104/05/20
"=""00640L""",富邦日本ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,104/08/27
"=""00641R""",富邦日本ETF傘型證券投資信託基金之富邦日本東証單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,104/08/27
"=""00642U""",元大標普高盛原油ER指數股票型期貨信託基金,,104/08/27
"=""00643""",群益深証中小１００證券投資信託基金,無,104/11/12
"=""00643K""",群益深証中小１００證券投資信託基金加掛—人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,無,104/11/12
"=""00645""",富邦日本東証證券投資信託基金,富邦證券投資信託股份有限公司,104/10/28
"=""00646""",元大標普500傘型證券投資信託基金之標普500證券投資信託基金,,104/12/02
"=""00647L""",元大標普500傘型證券投資信託基金之標普500單日正向2倍證券投資信託基金,,104/12/02
"=""00648R""",元大標普500傘型證券投資信託基金之標普500單日反向1倍證券投資信託基金,,104/12/02
"=""00649""",復華香港ETF傘型證券投資信託基金之復華恒生證券投資信託基金,,105/01/13
"=""00650L""",復華香港ETF傘型證券投資信託基金之復華恒生單日正向二倍證券投資信託基金,,105/01/13
"=""00651R""",復華香港ETF傘型證券投資信託基金之復華恒生單日反向一倍證券投資信託基金,,105/01/13
"=""00652""",富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY證券投資信託基金,富邦證券投資信託股份有限公司,105/03/16
"=""00653L""",富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,105/03/16
"=""00654R""",富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/03/16
"=""00655L""",國泰A50傘型證券投資信託基金之富時中國A50單日正向2倍證券投資信託基金,國泰證券投資信託股份有限公司,105/03/08
"=""00656R""",國泰A50傘型證券投資信託基金之富時中國A50單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,105/03/08
"=""00657""",國泰日本ETF傘型證券投資信託基金之日經225證券投資信託基金,國泰證券投資信託股份有限公司,105/04/25
"=""00657K""",國泰日經225證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,國泰證券投資信託股份有限公司,106/10/24
"=""00658L""",國泰日本ETF傘型證券投資信託基金之富時日本單日正向2倍證券投資信託基金,國泰證券投資信託股份有限公司,105/04/25
"=""00659R""",國泰日本ETF傘型證券投資信託基金之富時日本單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,105/04/25
"=""00660""",元大已開發國家傘型證券投資信託基金之元大歐洲50證券投資信託基金,,105/06/01
"=""00661""",元大已開發國家傘型證券投資信託基金之元大日經225證券投資信託基金,,105/06/01
"=""00662""",富邦NASDAQ-100證券投資信託基金,富邦證券投資信託股份有限公司,105/06/03
"=""00663L""",國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日正向2倍證券投資信託基金,國泰證券投資信託股份有限公司,105/07/01
"=""00664R""",國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,105/07/01
"=""00665L""",富邦恒生國企ETF傘型證券投資信託基金之富邦恒生國企單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,105/07/21
"=""00666R""",富邦恒生國企ETF傘型證券投資信託基金之富邦恒生國企單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/07/21
"=""00667""",元大韓國KOSPI 200證券投資信託基金,,105/09/30
"=""00668""",國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金,國泰證券投資信託股份有限公司,105/10/03
"=""00668K""",國泰道瓊工業平均指數證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,國泰證券投資信託股份有限公司,106/10/24
"=""00669R""",國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,105/10/03
"=""00670L""",富邦NASDAQ-100 ETF 傘型證券投資信託基金之富邦NASDAQ-100單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,106/02/14
"=""00671R""",富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100 單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/02/14
"=""00672L""",元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日正向2倍指數股票型期貨信託基金,,105/09/30
"=""00673R""",元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金,,105/09/30
"=""00674R""",元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金,,105/09/30
"=""00675L""",富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,105/09/23
"=""00676R""",富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/09/23
"=""00677U""",富邦標普500波動率短期期貨ER指數股票型期貨信託基金,富邦投信,105/12/22
"=""00678""",群益那斯達克生技證券投資信託基金,無,106/01/09
"=""00680L""",元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金,,106/01/11
"=""00681R""",元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金,,106/01/11
"=""00682U""",元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,,106/03/06
"=""00683L""",元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向2倍指數股票型期貨信託基金,,106/03/06
